"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.10100000000E+009, +1.84515218948E-001, +0.00000000000E+000
+1.10375000000E+009, +1.85245013330E-001, +0.00000000000E+000
+1.10650000000E+009, +1.83311176572E-001, +0.00000000000E+000
+1.10925000000E+009, +1.82603464123E-001, +0.00000000000E+000
+1.11200000000E+009, +1.84389693176E-001, +0.00000000000E+000
+1.11475000000E+009, +1.85292023578E-001, +0.00000000000E+000
+1.11750000000E+009, +1.83923609946E-001, +0.00000000000E+000
+1.12025000000E+009, +1.83485241453E-001, +0.00000000000E+000
+1.12300000000E+009, +1.85841107745E-001, +0.00000000000E+000
+1.12575000000E+009, +1.88360087258E-001, +0.00000000000E+000
+1.12850000000E+009, +1.87769099571E-001, +0.00000000000E+000
+1.13125000000E+009, +1.86360254738E-001, +0.00000000000E+000
+1.13400000000E+009, +1.87311179816E-001, +0.00000000000E+000
+1.13675000000E+009, +1.89810336904E-001, +0.00000000000E+000
+1.13950000000E+009, +1.90031937519E-001, +0.00000000000E+000
+1.14225000000E+009, +1.88457430523E-001, +0.00000000000E+000
+1.14500000000E+009, +1.88679943766E-001, +0.00000000000E+000
+1.14775000000E+009, +1.91895995081E-001, +0.00000000000E+000
+1.15050000000E+009, +1.94330423842E-001, +0.00000000000E+000
+1.15325000000E+009, +1.93375425333E-001, +0.00000000000E+000
+1.15600000000E+009, +1.91223472358E-001, +0.00000000000E+000
+1.15875000000E+009, +1.90879939115E-001, +0.00000000000E+000
+1.16150000000E+009, +1.91958888732E-001, +0.00000000000E+000
+1.16425000000E+009, +1.91884513288E-001, +0.00000000000E+000
+1.16700000000E+009, +1.90981526683E-001, +0.00000000000E+000
+1.16975000000E+009, +1.90400612530E-001, +0.00000000000E+000
+1.17250000000E+009, +1.90387666953E-001, +0.00000000000E+000
+1.17525000000E+009, +1.88954010546E-001, +0.00000000000E+000
+1.17800000000E+009, +1.87035663450E-001, +0.00000000000E+000
+1.18075000000E+009, +1.86217982857E-001, +0.00000000000E+000
+1.18350000000E+009, +1.87279919367E-001, +0.00000000000E+000
+1.18625000000E+009, +1.87662828206E-001, +0.00000000000E+000
+1.18900000000E+009, +1.85939596735E-001, +0.00000000000E+000
+1.19175000000E+009, +1.83412751673E-001, +0.00000000000E+000
+1.19450000000E+009, +1.82033052971E-001, +0.00000000000E+000
+1.19725000000E+009, +1.82297174334E-001, +0.00000000000E+000
+1.20000000000E+009, +1.82622605927E-001, +0.00000000000E+000
+1.20275000000E+009, +1.82262447012E-001, +0.00000000000E+000
+1.20550000000E+009, +1.81103081512E-001, +0.00000000000E+000
+1.20825000000E+009, +1.80301539126E-001, +0.00000000000E+000
+1.21100000000E+009, +1.79652042971E-001, +0.00000000000E+000
+1.21375000000E+009, +1.79566864513E-001, +0.00000000000E+000
+1.21650000000E+009, +1.79031313558E-001, +0.00000000000E+000
+1.21925000000E+009, +1.77923742349E-001, +0.00000000000E+000
+1.22200000000E+009, +1.76548984205E-001, +0.00000000000E+000
+1.22475000000E+009, +1.76406514815E-001, +0.00000000000E+000
+1.22750000000E+009, +1.77201424460E-001, +0.00000000000E+000
+1.23025000000E+009, +1.77680888379E-001, +0.00000000000E+000
+1.23300000000E+009, +1.77021066400E-001, +0.00000000000E+000
+1.23575000000E+009, +1.76000268461E-001, +0.00000000000E+000
+1.23850000000E+009, +1.76172297220E-001, +0.00000000000E+000
+1.24125000000E+009, +1.76844900744E-001, +0.00000000000E+000
+1.24400000000E+009, +1.77620254604E-001, +0.00000000000E+000
