"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.93000000000E+008, -1.90013360220E+000, +0.00000000000E+000
+7.95750000000E+008, -1.89876421975E+000, +0.00000000000E+000
+7.98500000000E+008, -1.89833954559E+000, +0.00000000000E+000
+8.01250000000E+008, -1.89853480770E+000, +0.00000000000E+000
+8.04000000000E+008, -1.89965780318E+000, +0.00000000000E+000
+8.06750000000E+008, -1.90147675152E+000, +0.00000000000E+000
+8.09500000000E+008, -1.90379184127E+000, +0.00000000000E+000
+8.12250000000E+008, -1.90640746157E+000, +0.00000000000E+000
+8.15000000000E+008, -1.90965143901E+000, +0.00000000000E+000
+8.17750000000E+008, -1.91337469625E+000, +0.00000000000E+000
+8.20500000000E+008, -1.91747585141E+000, +0.00000000000E+000
+8.23250000000E+008, -1.92208416377E+000, +0.00000000000E+000
+8.26000000000E+008, -1.92733539073E+000, +0.00000000000E+000
+8.28750000000E+008, -1.93315085008E+000, +0.00000000000E+000
+8.31500000000E+008, -1.93967070244E+000, +0.00000000000E+000
+8.34250000000E+008, -1.94672203449E+000, +0.00000000000E+000
+8.37000000000E+008, -1.95458648601E+000, +0.00000000000E+000
+8.39750000000E+008, -1.96292706565E+000, +0.00000000000E+000
+8.42500000000E+008, -1.97170404649E+000, +0.00000000000E+000
+8.45250000000E+008, -1.98083022218E+000, +0.00000000000E+000
+8.48000000000E+008, -1.99015490672E+000, +0.00000000000E+000
+8.50750000000E+008, -1.99958564158E+000, +0.00000000000E+000
+8.53500000000E+008, -2.00925812032E+000, +0.00000000000E+000
+8.56250000000E+008, -2.01904521618E+000, +0.00000000000E+000
+8.59000000000E+008, -2.02903537046E+000, +0.00000000000E+000
+8.61750000000E+008, -2.03932286406E+000, +0.00000000000E+000
+8.64500000000E+008, -2.05010288750E+000, +0.00000000000E+000
+8.67250000000E+008, -2.06154887134E+000, +0.00000000000E+000
+8.70000000000E+008, -2.07360746632E+000, +0.00000000000E+000
+8.72750000000E+008, -2.08628834225E+000, +0.00000000000E+000
+8.75500000000E+008, -2.09936077908E+000, +0.00000000000E+000
+8.78250000000E+008, -2.11269268493E+000, +0.00000000000E+000
+8.81000000000E+008, -2.12646882480E+000, +0.00000000000E+000
+8.83750000000E+008, -2.14035781640E+000, +0.00000000000E+000
+8.86500000000E+008, -2.15417167903E+000, +0.00000000000E+000
+8.89250000000E+008, -2.16818620507E+000, +0.00000000000E+000
+8.92000000000E+008, -2.18228567085E+000, +0.00000000000E+000
+8.94750000000E+008, -2.19641047857E+000, +0.00000000000E+000
+8.97500000000E+008, -2.21066157995E+000, +0.00000000000E+000
+9.00250000000E+008, -2.22530877563E+000, +0.00000000000E+000
+9.03000000000E+008, -2.24060073021E+000, +0.00000000000E+000
+9.05750000000E+008, -2.25638200810E+000, +0.00000000000E+000
+9.08500000000E+008, -2.27270866412E+000, +0.00000000000E+000
+9.11250000000E+008, -2.28940555914E+000, +0.00000000000E+000
+9.14000000000E+008, -2.30667669949E+000, +0.00000000000E+000
+9.16750000000E+008, -2.32457746266E+000, +0.00000000000E+000
+9.19500000000E+008, -2.34288146114E+000, +0.00000000000E+000
+9.22250000000E+008, -2.36142291302E+000, +0.00000000000E+000
+9.25000000000E+008, -2.38040066952E+000, +0.00000000000E+000
+9.27750000000E+008, -2.39978094096E+000, +0.00000000000E+000
